gene-LOC111982896	XP_023901772.1
gene-LOC112022923	XP_023914411.1
gene-LOC112032122	XP_023923729.1
gene-LOC111982897	XP_023873455.1
gene-LOC111992122	XP_023882873.1
gene-LOC112001279	XP_023892389.1
gene-LOC112010500	XP_023906059.1
gene-LOC112010500	XP_023905470.1
gene-LOC112010500	XP_023901773.1
gene-LOC112018417	XP_023907038.1
gene-LOC112019391	XP_023908008.1
gene-LOC112020337	XP_023909007.1
gene-LOC112021307	XP_023909994.1
gene-LOC112023849	XP_023913174.1
gene-LOC112023849	XP_023912566.1
gene-LOC112023849	XP_023913804.1
gene-LOC112025964	XP_023914737.1
gene-LOC112025964	XP_023915358.1
gene-LOC112025964	XP_023915954.1
gene-LOC112022345	XP_023911634.1
gene-LOC112022345	XP_023911010.1
gene-LOC112028145	XP_023916880.1
gene-LOC112030923	XP_023919683.1
gene-LOC112029048	XP_023917830.1
gene-LOC112031835	XP_023920636.1
gene-LOC112029997	XP_023918759.1
gene-LOC112032736	XP_023921581.1
gene-LOC112035438	XP_023924336.1
gene-LOC112039108	XP_023928037.1
gene-LOC112040003	XP_023928964.1
gene-LOC112036352	XP_023925237.1
gene-LOC112040922	XP_023870285.1
gene-LOC111983501	XP_023871282.1
gene-LOC111984522	XP_023872215.1
gene-LOC112038225	XP_023927120.1
gene-LOC112033645	XP_023922486.1
gene-LOC111985440	XP_023873167.1
gene-LOC111986349	XP_023874066.1
gene-LOC111987210	XP_023874997.1
gene-LOC111988109	XP_023875959.1
gene-LOC111988989	XP_023876860.1
gene-LOC111989941	XP_023877822.1
gene-LOC112034534	XP_023923429.1
gene-LOC111990883	XP_023878743.1
gene-LOC111991815	XP_023879706.1
gene-LOC111992700	XP_023880647.1
gene-LOC111993670	XP_023881588.1
gene-LOC111994545	XP_023882521.1
gene-LOC111995556	XP_023883551.1
gene-LOC112037289	XP_023926188.1
gene-LOC111996446	XP_023884509.1
gene-LOC111997292	XP_023885465.1
gene-LOC112002216	XP_023890468.1
gene-LOC112003188	XP_023891458.1
gene-LOC112004079	XP_023892390.1
gene-LOC111999120	XP_023887311.1
gene-LOC111999120	XP_023887925.1
gene-LOC111999120	XP_023888554.1
gene-LOC112001280	XP_023889545.1
gene-LOC111998193	XP_023886375.1
gene-LOC112007649	XP_023896116.1
gene-LOC112008635	XP_023897053.1
gene-LOC112009540	XP_023897971.1
gene-LOC112009540	XP_023898613.1
gene-LOC112011078	XP_023899561.1
gene-LOC112013259	XP_023901774.1
gene-LOC112014275	XP_023902793.1
gene-LOC112015292	XP_023903752.1
gene-LOC112016131	XP_023904751.1
gene-TRNAS-CGA	
gene-LOC112016952	XP_023905223.1
gene-LOC112017061	XP_023905322.1
gene-LOC112017149	XP_023905403.1
gene-LOC112012350	XP_023900806.1
gene-LOC112017229	XP_023905494.1
gene-LOC112017324	XP_023905580.1
gene-LOC112017419	XP_023905663.1
gene-LOC112017506	XP_023905765.1
gene-LOC112017598	XP_023905856.1
gene-LOC112017693	XP_023905940.1
gene-LOC112017920	XP_023906170.1
gene-LOC112017834	XP_023906081.1
gene-LOC112018268	XP_023906580.1
gene-LOC112018070	XP_023906375.1
gene-LOC112017980	XP_023906280.1
gene-LOC112018166	
gene-LOC112018944	XP_023907281.1
gene-LOC112019621	XP_023907941.1
gene-LOC112019621	XP_023908009.1
gene-LOC112018356	XP_023906681.1
gene-LOC112018447	XP_023906772.1
gene-LOC112019269	XP_023907603.1
gene-LOC112018850	XP_023907184.1
gene-LOC112019354	XP_023907678.1
gene-LOC112019458	XP_023907837.1
gene-LOC112019458	XP_023907778.1
gene-LOC112018637	XP_023906964.1
gene-LOC112019047	XP_023907431.1
gene-LOC112019047	XP_023907503.1
gene-LOC112019047	XP_023907369.1
gene-LOC112019790	XP_023908123.1
gene-LOC112019872	XP_023908216.1
gene-LOC112019960	XP_023908317.1
gene-LOC112020052	XP_023908408.1
gene-LOC112020140	XP_023908493.1
gene-LOC112020232	XP_023908592.1
gene-LOC112020338	XP_023908701.1
gene-LOC112020549	XP_023908905.1
gene-LOC112020651	XP_023909008.1
gene-LOC112020842	XP_023909207.1
